,id,neighbourhood_cleansed
956,5638366,Goya
957,5646304,Delicias
958,5654095,Cortes
959,5654704,Cortes
960,5656076,Embajadores
961,5659065,Justicia
962,5672272,Embajadores
963,5690702,Palos de Moguer
964,5691640,Hispanoamérica
965,5693145,Arapiles
966,5699523,Embajadores
967,5699593,Palacio
968,5707431,Gaztambide
969,5715713,Sol
970,5722480,Justicia
971,5722694,Embajadores
972,5735879,San Diego
973,5748366,San Isidro
974,5748546,Almenara
975,5749070,Goya
976,5756228,Universidad
977,5784304,Universidad
978,5787650,Puerta del Angel
979,5791993,Goya
980,5811071,Universidad
981,5817222,Palacio
982,5819351,Embajadores
983,5821340,Imperial
984,5829509,Peñagrande
985,5829524,Universidad
986,5836616,Justicia
987,5846936,Colina
988,5847367,Nueva España
989,5860795,Palacio
990,5872562,Legazpi
991,5876946,Palacio
992,5908353,Recoletos
993,5917909,Guindalera
994,5929961,Quintana
995,5935568,Universidad
996,5938004,Puerta del Angel
997,5948968,Universidad
998,5950516,Justicia
999,5950534,Ciudad Universitaria
1000,5962564,Universidad
1001,5966006,Valverde
1002,5976224,Sol
1003,5987757,San Isidro
1004,5994871,Embajadores
1005,6008086,Sol
1006,6021986,Sol
1007,6037342,Cortes
1008,6037661,Cortes
1009,6041881,Alameda de Osuna
1010,6042990,Cortes
1011,6043569,Casa de Campo
1012,6070267,Cortes
1013,6083007,Cortes
1014,6094591,Embajadores
1015,6097605,Imperial
1016,6097996,San Diego
1017,6110713,Niño Jesús
1018,6114620,Alameda de Osuna
1019,6123814,Recoletos
1020,6125903,Embajadores
1021,6131459,Casco Histórico de Vicálvaro
1022,6140219,Embajadores
1023,6159391,Embajadores
1024,6159615,Trafalgar
1025,6161577,Sol
1026,6168837,Universidad
1027,6174850,Imperial
1028,6182538,Canillas
1029,6183158,Embajadores
1030,6188369,Casco Histórico de Vallecas
1031,6193291,Cortes
1032,6194911,Palacio
1033,6199834,Jerónimos
1034,6200039,Valdemarín
1035,6206946,Quintana
1036,6216745,Trafalgar
1037,6221081,Justicia
1038,6226275,Sol
1039,6247825,La Paz
1040,6254495,Moscardó
1041,6257288,Adelfas
1042,6263965,Goya
1043,6279864,Casa de Campo
1044,6283743,Universidad
1045,6287069,Universidad
1046,6287397,Universidad
1047,6287501,Universidad
1048,6299647,Sol
1049,6303708,Cortes
1050,6307542,Palacio
1051,6312107,Palacio
1052,6320441,Palacio
1053,6332843,Vallehermoso
1054,6332990,Embajadores
1055,6333703,Quintana
1056,6336277,Sol
1057,6343738,Justicia
1058,6358574,Valdeacederas
1059,6367361,Justicia
1060,6382107,Concepción
1061,6382192,Ciudad Jardín
1062,6387909,Sol
1063,6393155,Delicias
1064,6397813,Universidad
1065,6410739,Embajadores
1066,6412588,Ciudad Universitaria
1067,6413068,Argüelles
1068,6420159,Palacio
1069,6423447,Concepción
1070,6432904,Trafalgar
1071,6435818,Palacio
1072,6436381,Numancia
1073,6440948,Delicias
1074,6442730,Universidad
1075,6444366,Universidad
1076,6469256,Ciudad Universitaria
1077,6469268,Ciudad Universitaria
1078,6470318,Justicia
1079,6477859,Palacio
1080,6478676,Palacio
1081,6485459,Jerónimos
1082,6485621,Embajadores
1083,6500469,Embajadores
1084,6507502,Palacio
1085,6507746,Justicia
1086,6518604,Cortes
1087,6522322,Sol
1088,6524154,Justicia
1089,6532332,Embajadores
1090,6533176,Palacio
1091,6541133,Peñagrande
1092,6542642,Justicia
1093,6543624,Justicia
1094,6547415,Recoletos
1095,6548167,Justicia
1096,6549680,Ibiza
1097,6554344,Numancia
1098,6563064,Embajadores
1099,6563427,Opañel
1100,6564043,San Isidro
1101,6564576,Numancia
1102,6568756,Opañel
1103,6571886,Arapiles
1104,6572976,Vista Alegre
1105,6574016,Palacio
1106,6575326,Opañel
1107,6592291,Opañel
1108,6596938,Ciudad Universitaria
1109,6607202,Universidad
1110,6615853,Cortes
1111,6621738,Embajadores
1112,6622630,Palacio
1113,6633231,Lucero
1114,6637689,Universidad
1115,6650003,Palacio
1116,6661646,Universidad
1117,6663211,Goya
1118,6669701,Embajadores
1119,6670334,Almagro
1120,6670853,Gaztambide
1121,6681279,Castellana
1122,6686871,Sol
1123,6688832,Universidad
1124,6696008,Palacio
1125,6702533,Puerta del Angel
1126,6707949,Embajadores
1127,6715294,Guindalera
1128,6715953,Palacio
1129,6719521,Castellana
1130,6720443,Puerta del Angel
1131,6720500,Trafalgar
1132,6720967,Niño Jesús
1133,6721589,Embajadores
1134,6721667,Palacio
1135,6730039,Palacio
1136,6743322,Cortes
1137,6765383,Quintana
1138,6769374,Sol
1139,6771751,Embajadores
1140,6771783,Embajadores
1141,6790972,Justicia
1142,6804292,Puerta del Angel
1143,6808363,Universidad
1144,6815205,Aravaca
1145,6826999,Justicia
1146,6827442,San Isidro
1147,6832931,Palacio
1148,6833266,San Diego
1149,6834233,Embajadores
1150,6835848,Cortes
1151,6840314,Arapiles
1152,6851621,Embajadores
1153,6856706,Imperial
1154,6858202,Castilla
1155,6861360,Acacias
1156,6864659,Apostol Santiago
1157,6867439,Palacio
1158,6872550,Casa de Campo
1159,6875270,Embajadores
1160,6881737,Justicia
