,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,occupancy_rate
13637,53593281,Loft in Madrid · ★4.98 · 3 bedrooms · 1 bed · 2.5 shared baths,37728622,Alberto,Centro,Embajadores,40.40843,-3.6949,Private room,100,1,44,2023-05-26,2.4,5,75,30,0.7945205479452054
13639,53597414,Rental unit in Madrid · ★4.70 · 2 bedrooms · 5 beds · 1 bath,432136940,Javier,Centro,Sol,40.416428,-3.704311,Entire home/apt,305,3,57,2023-05-22,3.23,2,132,40,0.6383561643835617
13640,53475590,Home in Madrid · ★4.83 · 2 bedrooms · 3 beds · 1 bath,28493840,Patricia,Centro,Sol,40.41978,-3.70048,Entire home/apt,104,28,6,2022-07-02,0.34,1,324,1,0.11232876712328767
13641,53598245,Rental unit in Madrid · ★4.81 · 1 bedroom · 3 beds · 1 bath,432136940,Javier,Centro,Sol,40.416386,-3.704322,Entire home/apt,187,3,54,2023-05-21,3.35,2,134,39,0.6328767123287671
13642,53476972,Rental unit in Madrid · ★5.0 · 1 bedroom · 1 bed · 1 bath,3513838,Carlos,Centro,Universidad,40.420780181884766,-3.7027199268341056,Entire home/apt,69,60,5,2023-05-11,0.41,1,208,4,0.4301369863013699
13643,53599308,Rental unit in Madrid · ★4.25 · 2 bedrooms · 2 beds · 2 baths,28038703,Luxury Rentals Madrid,Centro,Justicia,40.42539,-3.69464,Entire home/apt,375,3,4,2023-03-20,0.22,102,93,3,0.7452054794520548
13644,53599540,Rental unit in Madrid · ★4.65 · 1 bedroom · 1 bed · 1 bath,1408525,Mad4Rent,Centro,Universidad,40.42441,-3.70065,Entire home/apt,107,5,26,2023-05-31,1.59,67,318,19,0.12876712328767123
13645,53478316,Rental unit in Madrid · ★4.92 · 1 bedroom · 2 beds · 1 bath,315004619,Arturo,Centro,Palacio,40.41286,-3.71597,Entire home/apt,156,1,39,2023-05-26,2.09,10,86,16,0.7643835616438356
13646,53601124,Rental unit in Madrid · ★4.83 · 2 bedrooms · 3 beds · 2.5 baths,25147481,María,Moncloa - Aravaca,Aravaca,40.46268,-3.7962,Entire home/apt,396,3,6,2022-07-15,0.38,1,165,2,0.547945205479452
13647,53485410,Loft in Madrid · ★4.51 · Studio · 1 bed · 1 bath,2564339,Alfonso & Guillermo,Centro,Palacio,40.41023,-3.71171,Entire home/apt,93,3,43,2023-05-28,2.31,17,77,31,0.7890410958904109
13648,53601780,Loft in Madrid · ★4.72 · 3 bedrooms · 1 bed · 2 shared baths,37728622,Alberto,Centro,Embajadores,40.40682,-3.69662,Private room,116,1,47,2023-05-22,2.55,5,83,29,0.7726027397260274
13649,53488911,Rental unit in Madrid · ★4.17 · 1 bedroom · 2 beds · 1 shared bath,433133944,Alberto,Ciudad Lineal,Ventas,40.42325,-3.65256,Private room,44,1,30,2023-05-28,1.61,2,350,7,0.0410958904109589
13652,53602913,Rental unit in Madrid · ★4.25 · 2 bedrooms · 2 beds · 2 baths,9885245,My Mad Madrid,Tetuán,Cuatro Caminos,40.44713,-3.70146,Entire home/apt,80,3,12,2023-01-01,0.65,61,0,4,1.0
13653,53604463,Rental unit in Madrid · ★4.65 · 2 bedrooms · 3 beds · 2 baths,4839888,Alicia,Centro,Palacio,40.41073,-3.70988,Entire home/apt,138,2,75,2023-05-24,4.46,20,278,52,0.23835616438356164
13657,53604543,Rental unit in Madrid · ★4.71 · Studio · 1 bed · 1 bath,433441305,Sergio,Centro,Justicia,40.42033,-3.7009,Entire home/apt,157,3,68,2023-05-19,3.86,1,158,51,0.5671232876712329
13660,53604598,Condo in Madrid · ★4.79 · 1 bedroom · 2 beds · 2 baths,433927000,Isabel,Chamberí,Almagro,40.43586,-3.69446,Entire home/apt,149,2,14,2023-05-14,0.79,1,267,11,0.2684931506849315
13663,53606347,Hostel in Madrid · ★4.73 · 1 bedroom · 2 beds · 1 private bath,5895129,Leslie,Centro,Cortes,40.41537,-3.69978,Private room,125,1,11,2022-08-25,0.66,6,361,3,0.010958904109589041
13665,53606492,Hostel in Madrid · 1 bedroom · 1 bed · 1 private bath,5895129,Leslie,Centro,Cortes,40.41579,-3.69966,Private room,125,1,1,2022-07-25,0.09,6,347,1,0.049315068493150684
13666,53607486,Rental unit in Madrid · ★3.68 · 1 bedroom · 5 beds · 1 bath,394139103,Brandon,Usera,Almendrales,40.38231,-3.70347,Entire home/apt,66,2,19,2023-05-15,1.22,19,71,16,0.8054794520547945
13669,53616596,Rental unit in Madrid · ★3.98 · 1 bedroom · 2 beds · 1 bath,17499500,Homeabout,Arganzuela,Imperial,40.41305,-3.72028,Entire home/apt,80,1,41,2023-04-17,2.22,82,335,26,0.0821917808219178
13670,53494190,Chalet in Madrid · ★4.31 · 1 bedroom · 2 beds · 1.5 baths,106308247,Maria Adriela,Barajas,Casco Histórico de Barajas,40.47451,-3.57601,Entire home/apt,60,1,78,2023-05-08,4.33,4,0,40,1.0
13671,53505252,Loft in Madrid · ★5.0 · 1 bedroom · 2 beds · 1 bath,12171203,Isidro,Centro,Embajadores,40.40847,-3.69892,Entire home/apt,179,2,35,2023-05-22,2.17,1,91,24,0.7506849315068493
13673,53659002,Guesthouse in Madrid · ★4.93 · 1 bedroom · 2 beds · 1 bath,4568301,Olga,Usera,Moscardó,40.388065,-3.709332,Entire home/apt,67,2,59,2023-06-04,3.69,1,114,42,0.6876712328767123
13674,53617692,Rental unit in Madrid · ★4.70 · 1 bedroom · 1 bed · 1 bath,434200137,Villamena,Salamanca,Goya,40.42369,-3.67475,Entire home/apt,175,1,40,2023-05-18,2.34,8,224,29,0.3863013698630137
13675,53659052,Rental unit in Madrid · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,366061604,Cristhoper,Villaverde,San Cristobal,40.34457,-3.6875,Private room,50,1,14,2023-04-30,0.85,2,89,6,0.7561643835616438
13676,53619454,Rental unit in Madrid · ★4.81 · 1 bedroom · 1 bed · 1 bath,44424867,Ingrid,Centro,Palacio,40.42049,-3.70771,Entire home/apt,99,1,52,2023-05-20,2.89,1,30,33,0.9178082191780822
13677,53661767,Rental unit in Madrid · ★4.50 · Studio · 1 bed · 1 bath,26911451,Fernando,Centro,Justicia,40.425095,-3.691769,Entire home/apt,89,3,18,2023-06-04,0.98,2,128,15,0.6493150684931507
13678,53619927,Loft in Madrid · ★4.60 · 1 bedroom · 1 bed · 1.5 baths,330794542,Williams,Hortaleza,Valdefuentes,40.48605,-3.66702,Entire home/apt,71,1,10,2023-05-03,0.57,21,161,6,0.5589041095890411
13679,53662660,Rental unit in Madrid · ★4.71 · 1 bedroom · 1 bed · 1 bath,4511527,Carlos,Centro,Embajadores,40.41032,-3.70108,Entire home/apt,76,1,146,2023-06-06,8.05,1,37,94,0.8986301369863013
13680,53620191,Rental unit in Madrid · ★4.79 · 1 bedroom · 1 bed · 1 bath,434200137,Villamena,Salamanca,Goya,40.42542,-3.67305,Entire home/apt,186,1,48,2023-05-24,2.61,8,208,34,0.4301369863013699
13682,53620580,Rental unit in Madrid · ★5.0 · 3 bedrooms · 1 bed · 2 baths,106591951,Luxa Home,Salamanca,Castellana,40.42989,-3.68619,Entire home/apt,293,20,3,2023-04-21,0.17,46,41,2,0.8876712328767123
13683,53625996,Rental unit in Madrid · ★4.72 · 1 bedroom · 1 bed · 1 shared bath,305741334,Melania,Puente de Vallecas,San Diego,40.39233,-3.66927,Private room,20,3,103,2023-05-21,5.58,3,203,60,0.4438356164383562
13684,53666880,Rental unit in Madrid · ★4.47 · 1 bedroom · 1 bed · 1 shared bath,308517776,Norkys,San Blas - Canillejas,Canillejas,40.44468,-3.61221,Private room,30,1,60,2023-06-07,3.27,4,172,49,0.5287671232876713
13685,53627000,Loft in Madrid · ★4.39 · 1 bedroom · 1 bed · 1 bath,434266904,Loredana,Centro,Justicia,40.42219,-3.69851,Entire home/apt,66,1,74,2023-05-29,4.15,2,160,49,0.5616438356164384
13688,53627592,Rental unit in Madrid · ★4.58 · 4 bedrooms · 6 beds · 2 baths,50262565,Angie,Centro,Justicia,40.42122,-3.69883,Entire home/apt,304,1,86,2023-06-08,4.85,11,284,58,0.2219178082191781
13689,53669423,Place to stay in Madrid · ★4.15 · 1 bedroom · 1 bed · 1 private bath,223652983,Guillermo,Salamanca,Guindalera,40.44191,-3.66335,Private room,58,1,20,2023-02-11,1.09,8,62,3,0.8301369863013699
13691,53636243,Rental unit in Madrid · ★3.25 · 1 bedroom · 1 bed · 1 bath,1408525,Mad4Rent,Centro,Palacio,40.4131,-3.71096,Entire home/apt,96,3,8,2023-03-17,0.45,67,278,1,0.23835616438356164
13692,53682319,Place to stay in Madrid · ★3.91 · 1 bedroom · 1 bed · 1 private bath,223652983,Guillermo,Chamartín,Prosperidad,40.44338,-3.66447,Private room,53,1,11,2023-04-09,0.61,8,125,1,0.6575342465753424
13693,53682600,Place to stay in Madrid · ★4.29 · 1 bedroom · 1 bed · 2 shared baths,223652983,Guillermo,Salamanca,Guindalera,40.4421,-3.66341,Private room,40,1,109,2023-04-23,6.04,8,157,29,0.5698630136986301
13694,53687404,Condo in Madrid · 1 bedroom · 1 bed · 1 bath,374037000,Thibault & Cris,Centro,Palacio,40.41775,-3.70858,Entire home/apt,129,9,2,2023-03-15,0.38,1,43,2,0.8821917808219178
13695,53637712,Rental unit in Madrid · ★4.39 · 1 bedroom · 1 bed · 0 shared baths,210724214,Danitza,Fuencarral - El Pardo,Peñagrande,40.48076,-3.71742,Private room,30,1,44,2023-05-20,2.44,1,68,29,0.8136986301369863
13696,53689176,Hostel in Madrid · ★4.82 · 14 bedrooms · 14 beds · 7 shared baths,66852008,Juan Carlos,Salamanca,Goya,40.4223,-3.67966,Private room,51,1,11,2022-10-07,0.69,3,338,6,0.07397260273972603
13697,53639930,Rental unit in Madrid · ★5.0 · Studio · 1 bed · 1 bath,119658470,Kris,Arganzuela,Acacias,40.40515,-3.70626,Entire home/apt,65,6,3,2023-01-01,0.17,1,64,2,0.8246575342465754
13698,53693289,Condo in Madrid · 2 bedrooms · 2 beds · 1.5 baths,3540591,Max,Centro,Universidad,40.4293,-3.70733,Entire home/apt,85,60,2,2023-01-02,0.2,12,199,2,0.4547945205479452
13699,53642234,Rental unit in Madrid · ★4.29 · Studio · 1 bed · 1 bath,39362213,Ricardo,Centro,Sol,40.41694,-3.70445,Entire home/apt,136,1,45,2023-05-26,2.5,15,307,36,0.1589041095890411
13701,53646154,Rental unit in Madrid · ★4.79 · 1 bedroom · 1 bed · 1 bath,161798391,El Tesoro,Fuencarral - El Pardo,Pilar,40.47701,-3.71324,Entire home/apt,100,2,42,2023-05-28,2.29,11,150,32,0.589041095890411
13702,53695041,Rental unit in Madrid · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,390610688,Qiuqin,Salamanca,Goya,40.42809,-3.67803,Private room,26,10,3,2023-01-31,0.22,2,80,2,0.7808219178082192
13703,53646757,Rental unit in Madrid · ★4.41 · 1 bedroom · 1 bed · 1.5 baths,262708550,Angelito,Centro,Universidad,40.42185,-3.70148,Entire home/apt,85,1,64,2023-04-08,4.66,1,0,54,1.0
13704,53651282,Rental unit in Madrid · ★4.61 · 2 bedrooms · 2 beds · 2 baths,217067249,Jorge,Centro,Universidad,40.42204,-3.70189,Entire home/apt,158,2,88,2023-05-22,4.97,61,142,54,0.6109589041095891
13705,53698222,Condo in Madrid · ★4.83 · 1 bedroom · 1 bed · 1 bath,57769069,Bhav,Centro,Universidad,40.42339,-3.70578,Entire home/apt,68,4,6,2022-11-06,0.42,1,33,4,0.9095890410958904
13706,53652613,Rental unit in Madrid · ★4.67 · 2 bedrooms · 3 beds · 1 bath,45273172,Diego,Tetuán,Bellas Vistas,40.44822,-3.70426,Entire home/apt,69,3,30,2023-05-29,1.67,1,244,18,0.3315068493150685
13707,53653572,Rental unit in Madrid · ★4.58 · 1 bedroom · 1 bed · 1 bath,1408525,Mad4Rent,Centro,Embajadores,40.41223,-3.7038,Entire home/apt,88,4,26,2023-05-26,1.43,67,239,17,0.3452054794520548
13708,53700629,Rental unit in Madrid · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,23738343,Joaquin,Ciudad Lineal,San Pascual,40.44174,-3.65227,Private room,22,1,13,2022-08-21,0.73,1,0,11,1.0
13709,53654379,Rental unit in Madrid · ★5.0 · 1 bedroom · 2 beds · 1 bath,129000409,Olala Homes,Retiro,Adelfas,40.39749,-3.67002,Entire home/apt,109,1,8,2023-05-04,0.58,56,326,6,0.10684931506849316
13710,53654380,Rental unit in Madrid · ★4.64 · 1 bedroom · 2 beds · 1 bath,129000409,Olala Homes,Puente de Vallecas,Numancia,40.39804,-3.66778,Entire home/apt,106,1,14,2022-10-12,0.81,56,350,7,0.0410958904109589
13711,53655661,Rental unit in Madrid · ★4.96 · 2 bedrooms · 2 beds · 1.5 baths,23995737,Engracia,San Blas - Canillejas,Hellín,40.43142,-3.61542,Entire home/apt,84,1,25,2023-04-12,1.69,1,338,11,0.07397260273972603
13712,53700827,casa particular in Madrid · ★4.66 · 1 bedroom · 1 bed · 1.5 shared baths,434926832,Gloria Edith,Ciudad Lineal,Ventas,40.42562,-3.65658,Private room,30,2,68,2023-06-08,3.73,1,356,47,0.024657534246575342
13713,53657312,Rental unit in Madrid · ★4.73 · Studio · 1 bed · 1 shared bath,116553670,Anabel,Arganzuela,Delicias,40.39938,-3.69489,Private room,34,2,66,2023-05-29,3.91,1,341,42,0.06575342465753424
13714,53657895,Rental unit in Madrid · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,77560630,Maria,Ciudad Lineal,Ventas,40.42996,-3.65455,Private room,34,1,9,2023-04-10,0.49,6,363,2,0.005479452054794521
13715,53711264,Condo in Madrid · ★4.97 · 1 bedroom · 1 bed · 2 baths,66430325,Youssef,Tetuán,Berruguete,40.45794,-3.70281,Private room,32,3,63,2023-06-04,3.69,1,157,45,0.5698630136986301
13716,53813772,Hostel in Madrid · ★4.79 · 1 bedroom · 1 bed · 1 private bath,18181859,Emba Room,Arganzuela,Chopera,40.39883,-3.70006,Private room,64,1,76,2023-05-24,4.22,5,184,41,0.4958904109589041
13717,53712763,Rental unit in Madrid · ★4.64 · 1 bedroom · 1 bed · 1.5 baths,433127365,Maria C,Centro,Palacio,40.41866,-3.70988,Entire home/apt,118,3,47,2023-05-21,2.64,1,140,35,0.6164383561643836
13718,53813821,Rental unit in Madrid · ★4.75 · 1 bedroom · 1 bed · 1 bath,430264712,Emilio,Centro,Universidad,40.42552,-3.70627,Entire home/apt,244,1,4,2023-03-11,0.24,40,340,1,0.0684931506849315
13719,53821687,Rental unit in Madrid · ★4.54 · 4 bedrooms · 4 beds · 2 baths,434200137,Villamena,Salamanca,Goya,40.42337,-3.67504,Entire home/apt,284,1,37,2023-05-29,2.1,8,245,26,0.3287671232876712
13720,53821698,Condo in Madrid · ★5.0 · 1 bedroom · 1 bed · 1 bath,240331755,Blanca,Chamartín,Castilla,40.46796,-3.68752,Entire home/apt,75,14,10,2023-06-05,0.68,1,300,9,0.1780821917808219
13721,53714783,Serviced apartment in Madrid · ★4.83 · 3 bedrooms · 4 beds · 2 baths,305260999,Pablo,Centro,Palacio,40.42331,-3.710818,Entire home/apt,307,2,30,2023-05-26,1.71,8,199,28,0.4547945205479452
13722,53822522,Rental unit in Madrid · ★4.78 · 3 bedrooms · 3 beds · 2 baths,434200137,Villamena,Salamanca,Goya,40.42396,-3.67485,Entire home/apt,264,1,46,2023-05-30,2.74,8,214,32,0.4136986301369863
13725,53715067,Serviced apartment in Madrid · ★5.0 · 1 bedroom · 2 beds · 1 bath,4735460,Carmen,Salamanca,Recoletos,40.42197799682617,-3.6877400875091553,Entire home/apt,90,30,4,2023-03-04,0.34,10,323,4,0.11506849315068493
13726,53822773,Rental unit in Madrid · ★4.83 · 2 bedrooms · 3 beds · 1 bath,9445955,Ana,Usera,Moscardó,40.38617,-3.70679,Entire home/apt,101,3,29,2023-04-10,1.65,1,140,16,0.6164383561643836
13728,53822974,Rental unit in Madrid · ★4.23 · 1 bedroom · 2 beds · 1 bath,435322855,Namaroas Bienes,Centro,Justicia,40.4197,-3.69733,Entire home/apt,1013,1,35,2023-05-22,1.98,1,329,31,0.09863013698630137
13729,53729220,Place to stay in Madrid · ★4.25 · 1 bedroom · 1 bed · 1.5 shared baths,20609984,Jose,Carabanchel,San Isidro,40.39076,-3.73246,Private room,52,2,4,2023-05-01,0.26,18,364,2,0.0027397260273972603
13730,53823591,Rental unit in Madrid · ★4.79 · 2 bedrooms · 2 beds · 2 baths,28786243,Emilio,Centro,Universidad,40.42433,-3.70636,Entire home/apt,279,1,34,2023-05-25,1.92,68,334,22,0.08493150684931507
13731,53824227,Rental unit in Madrid · ★4.90 · 2 bedrooms · 2 beds · 2 baths,28786243,Emilio,Centro,Universidad,40.42224,-3.70684,Entire home/apt,297,1,30,2023-05-25,1.7,68,343,19,0.06027397260273973
13732,53730439,Vacation home in Madrid · ★4.21 · Studio · 1 bed · 1 bath,185442287,Gema,Centro,Embajadores,40.40922,-3.7072,Entire home/apt,49,10,14,2023-05-23,1.11,4,197,13,0.4602739726027397
13733,53824502,Rental unit in Madrid · ★4.84 · 3 bedrooms · 3 beds · 2 baths,28786243,Emilio,Centro,Universidad,40.42271,-3.70699,Entire home/apt,335,1,25,2023-05-20,1.4,68,358,14,0.019178082191780823
13734,53730767,Rental unit in Madrid · ★4.57 · 1 bedroom · 1 bed · 1 shared bath,435174282,Wilson Alexis,Latina,Aluche,40.39537,-3.76935,Private room,25,1,37,2022-11-11,2.06,1,160,14,0.5616438356164384
13735,53824751,Rental unit in Madrid · ★4.82 · 3 bedrooms · 3 beds · 2 baths,28786243,Emilio,Centro,Universidad,40.42255,-3.70509,Entire home/apt,435,1,17,2023-04-28,1.18,68,340,10,0.0684931506849315
13736,53730803,Rental unit in Madrid · ★5.0 · 1 bedroom · 1 bed · 1 bath,48982774,Eduardo,Chamberí,Almagro,40.42999,-3.69175,Entire home/apt,85,10,3,2022-09-18,0.17,1,0,1,1.0
13737,53824810,Rental unit in Madrid · ★4.47 · 2 bedrooms · 3 beds · 1 bath,107141654,Leeways,Retiro,Jerónimos,40.41796,-3.67897,Entire home/apt,173,27,53,2023-05-09,3.01,95,158,36,0.5671232876712329
13738,53825034,Rental unit in Madrid · ★4.84 · 1 bedroom · 1 bed · 1 bath,28786243,Emilio,Centro,Universidad,40.42216,-3.70648,Entire home/apt,158,1,51,2023-05-28,2.85,68,338,36,0.07397260273972603
13739,53730907,Vacation home in Madrid · ★4.65 · 3 bedrooms · 5 beds · 2 baths,76379157,Patricia,Centro,Embajadores,40.41204,-3.7029,Entire home/apt,286,2,37,2023-05-14,3.25,1,333,37,0.08767123287671233
13740,53739885,Home in Madrid · ★4.74 · 3 bedrooms · 1 bed · 1 shared bath,428098914,Gloria Irene,Centro,Embajadores,40.41033,-3.70761,Private room,27,1,72,2023-06-09,4.14,2,286,57,0.21643835616438356
13741,53825064,Rental unit in Madrid · ★4.63 · 2 bedrooms · 2 beds · 2 baths,435997918,Pablo,Tetuán,Cuatro Caminos,40.44832,-3.69957,Entire home/apt,160,1,57,2023-06-09,3.17,1,342,38,0.06301369863013699
13742,53825498,Rental unit in Madrid · ★4.82 · 2 bedrooms · 2 beds · 1 bath,28786243,Emilio,Centro,Universidad,40.42363,-3.70473,Entire home/apt,314,1,17,2023-02-06,0.97,68,316,8,0.13424657534246576
13745,53746355,Condo in Madrid · ★4.85 · 1 bedroom · 1 bed · 1 bath,435301863,Ccassa,Chamartín,Hispanoamérica,40.45506,-3.68012,Entire home/apt,89,2,53,2023-06-07,3.77,6,303,41,0.16986301369863013
13746,53844266,Rental unit in Madrid · ★4.73 · 1 bedroom · 1 bed · 2 shared baths,24668944,Nacho,Centro,Justicia,40.42078,-3.69728,Private room,73,1,15,2023-06-02,1.09,1,353,10,0.03287671232876712
13747,53746693,Rental unit in Madrid · ★4.67 · 1 bedroom · 1 bed · 1 bath,435304344,Miguel,Centro,Universidad,40.42441,-3.70503,Entire home/apt,114,1,66,2023-05-30,3.63,1,195,44,0.4657534246575342
13748,53853684,Condo in Madrid · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,423969716,Efrain,Latina,Campamento,40.38215255737305,-3.7913410663604736,Private room,29,2,31,2023-05-22,1.79,8,199,20,0.4547945205479452
13749,53854925,Rental unit in Madrid · ★4.91 · 2 bedrooms · 3 beds · 2 baths,216203351,Fiteni,Chamberí,Trafalgar,40.43378,-3.70301,Entire home/apt,228,1,56,2023-05-29,3.18,15,219,42,0.4
13750,53746842,Rental unit in Madrid · ★4.82 · 2 bedrooms · 2 beds · 1 bath,434384611,Maria Y Jorge,Chamberí,Arapiles,40.43502,-3.70963,Entire home/apt,115,3,142,2023-06-05,7.8,5,69,102,0.810958904109589
13752,53856314,Rental unit in Madrid · ★4.81 · 1 bedroom · 2 beds · 1 bath,120066393,Lola,Salamanca,Lista,40.43142066923587,-3.673827589888012,Entire home/apt,100,2,83,2023-05-15,5.08,13,310,56,0.1506849315068493
13754,53856865,Rental unit in Madrid · ★4.32 · 3 bedrooms · 3 beds · 3 baths,217067249,Jorge,Salamanca,Goya,40.42826,-3.67051,Entire home/apt,116,2,34,2022-09-11,1.92,61,0,11,1.0
13755,53750242,Rental unit in Madrid · ★4.37 · 1 bedroom · 2 beds · 1 bath,315837114,Marta Y Dani,Centro,Embajadores,40.41084,-3.70716,Entire home/apt,95,2,54,2023-06-04,3.1,2,343,36,0.06027397260273973
13756,53755398,Vacation home in Madrid · ★4.53 · 3 bedrooms · 5 beds · 2 baths,100471679,Amalia,Centro,Embajadores,40.41214,-3.70315,Entire home/apt,350,2,19,2022-07-10,1.06,1,322,2,0.1178082191780822
13757,53860285,Rental unit in Madrid · ★5.0 · 1 bedroom · 1 bed · 1 bath,99593937,Sandra,Centro,Sol,40.418976,-3.702311,Entire home/apt,261,1,3,2023-04-09,0.63,2,154,3,0.5780821917808219
13758,53755801,Loft in Madrid · ★4.40 · 1 bedroom · 2 beds · 1 bath,435363892,Neida,Centro,Palacio,40.420189,-3.708387,Entire home/apt,99,3,25,2022-09-30,1.54,3,289,8,0.20821917808219179
13760,53756527,Condo in Madrid · ★5.0 · 1 bedroom · 2 beds · 1.5 shared baths,70784683,Carmen,Chamberí,Rios Rosas,40.44029,-3.6958,Private room,49,2,9,2023-02-26,0.55,1,97,6,0.7342465753424657
13761,53873389,Rental unit in Madrid · ★4.67 · 2 bedrooms · 3 beds · 2 baths,276347372,Carolyn,Centro,Embajadores,40.40982,-3.70741,Entire home/apt,179,1,55,2023-06-05,3.19,3,351,34,0.038356164383561646
13762,53762391,Rental unit in Madrid · ★4.90 · 1 bedroom · 1 bed · 1 bath,363278359,Paulo,Centro,Sol,40.41955,-3.70319,Entire home/apt,119,3,21,2023-05-22,1.17,2,207,15,0.4328767123287671
13763,53762430,Rental unit in Madrid · ★4.0 · 1 bedroom · 2 shared baths,20609984,Jose,Carabanchel,San Isidro,40.39056,-3.73203,Private room,60,2,4,2023-05-01,0.23,18,364,1,0.0027397260273972603
13764,53874400,Condo in Madrid · ★4.69 · 2 bedrooms · 3 beds · 2 baths,436376792,Viviendas Y Pisos Unicos,Centro,Embajadores,40.40824,-3.71035,Entire home/apt,191,1,13,2023-05-08,0.86,10,54,12,0.852054794520548
13765,53762794,Rental unit in Madrid · ★4.88 · 1 bedroom · 1 bed · 1 bath,435435481,Margarita Norma,Arganzuela,Palos de Moguer,40.40554,-3.69575,Entire home/apt,82,3,25,2023-05-06,1.44,1,209,17,0.4273972602739726
13766,53874990,Rental unit in Madrid · ★4.67 · 1 bedroom · 1 bed · 1 private bath,225570970,Royal,Centro,Palacio,40.41754,-3.7104,Private room,72,1,15,2023-04-29,0.89,14,123,11,0.663013698630137
13767,53764454,Rental unit in Madrid · ★4.60 · 2 bedrooms · 4 beds · 2 baths,377605855,Marco,Carabanchel,Comillas,40.39632,-3.71252,Entire home/apt,153,1,10,2023-03-26,0.6,266,83,8,0.7726027397260274
13768,53875141,Loft in Madrid · ★4.80 · 1 bedroom · 1 bed · 1 bath,117890170,Pablo,Hortaleza,Valdefuentes,40.48679405213969,-3.671704966925572,Entire home/apt,67,3,101,2023-05-23,5.82,1,113,73,0.6904109589041096
13769,53875817,Rental unit in Madrid · ★4.08 · 1 bedroom · 1 bed · 1 bath,52530675,Esther,Tetuán,Berruguete,40.46001,-3.70708,Entire home/apt,85,5,12,2023-04-28,0.69,45,365,7,0.0
13770,53764455,Rental unit in Madrid · ★4.45 · 2 bedrooms · 4 beds · 2 baths,377605855,Marco,Carabanchel,Comillas,40.39502,-3.71074,Entire home/apt,188,1,11,2023-03-12,0.8,266,88,10,0.7589041095890411
13771,53764457,Rental unit in Madrid · ★4.54 · 2 bedrooms · 4 beds · 2 baths,377605855,Marco,Carabanchel,Comillas,40.39681,-3.71212,Entire home/apt,127,1,28,2023-04-20,1.58,266,83,14,0.7726027397260274
13772,53875840,Rental unit in Madrid · 1 bedroom · 2 beds · 1 bath,396363,Alcambarcelona,Tetuán,Castillejos,40.46221,-3.69673,Entire home/apt,112,1,1,2022-06-10,0.08,3,93,1,0.7452054794520548
13773,53764458,Rental unit in Madrid · ★4.70 · 2 bedrooms · 4 beds · 2 baths,377605855,Marco,Carabanchel,Comillas,40.39628,-3.71045,Entire home/apt,124,1,10,2023-05-19,0.63,266,89,9,0.7561643835616438
13774,53764459,Rental unit in Madrid · ★4.17 · 2 bedrooms · 4 beds · 2 baths,377605855,Marco,Carabanchel,Comillas,40.39535,-3.71031,Entire home/apt,154,1,6,2022-11-12,0.34,266,74,2,0.7972602739726027
13775,53876705,Rental unit in Madrid · ★4.63 · 1 bedroom · 1 bed · 1 bath,402683004,Ruth,Tetuán,Berruguete,40.46038,-3.70657,Entire home/apt,85,4,8,2023-05-24,0.51,46,347,6,0.049315068493150684
13776,53886006,Rental unit in Madrid · ★4.20 · 3 bedrooms · 5 beds · 1 bath,66372435,Angelina,Puente de Vallecas,Numancia,40.39556921370776,-3.653423978750581,Entire home/apt,114,3,25,2023-05-02,1.43,5,345,17,0.0547945205479452
13777,53764460,Rental unit in Madrid · ★4.83 · 2 bedrooms · 4 beds · 2 baths,377605855,Marco,Carabanchel,Comillas,40.39638,-3.71055,Entire home/apt,136,1,18,2023-06-02,1.08,266,78,12,0.7863013698630137
13779,53890611,Rental unit in Madrid · ★4.93 · 2 bedrooms · 3 beds · 1 bath,436527663,Amadeo,San Blas - Canillejas,Rosas,40.42231,-3.61038,Entire home/apt,87,5,15,2023-01-22,0.99,1,316,6,0.13424657534246576
13780,53764461,Rental unit in Madrid · ★4.67 · 2 bedrooms · 4 beds · 2 baths,377605855,Marco,Carabanchel,Comillas,40.39521,-3.71024,Entire home/apt,227,1,24,2023-05-17,1.36,266,87,14,0.7616438356164383
13781,53764462,Rental unit in Madrid · ★4.81 · 2 bedrooms · 4 beds · 2 baths,377605855,Marco,Carabanchel,Comillas,40.39515,-3.71056,Entire home/apt,201,1,27,2023-05-11,1.53,266,78,21,0.7863013698630137
13782,53892471,Rental unit in Madrid · ★3.96 · 1 bedroom · 1 bed · 1 bath,115511482,Alfonso,Centro,Embajadores,40.40869,-3.69872,Entire home/apt,50,2,25,2023-05-21,2.8,2,268,25,0.26575342465753427
13783,53765206,Rental unit in Madrid · ★4.43 · 2 bedrooms · 3 beds · 1 bath,377605855,Marco,Tetuán,Bellas Vistas,40.44903,-3.70785,Entire home/apt,141,1,14,2023-05-22,1.38,266,200,14,0.4520547945205479
