id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,bathrooms,accommodates,bedrooms,host_is_superhost,beds,availability_30,monthly_occupancy,month,day,district_key,neighborhood_key,neighbourhood_group,median_price,how_expensive,predict
31577909,40.41256,-3.70722,167,2,22,0.42,97,1.0,5,1.0,1.0,2.0,6,0.8,2,21,1,6,Centro,106.0,15.0,134.9328428540539
31579349,40.4599,-3.69823,151,2,9,0.19,299,1.0,3,1.0,0.0,2.0,8,0.7333333333333333,1,7,10,29,Tetuán,79.0,11.0,121.64401067949257
31374119,40.40019,-3.69408,95,2,71,1.34,322,1.0,4,1.0,0.0,2.0,6,0.8,6,5,8,18,Arganzuela,81.0,12.0,91.94444020280436
31378106,40.42165,-3.707,189,4,212,3.96,133,1.0,6,3.0,0.0,4.0,13,0.5666666666666667,6,6,1,1,Centro,106.0,15.0,172.49123389163228
31395218,40.42165,-3.707,121,3,216,4.05,103,1.0,4,2.0,0.0,2.0,3,0.9,6,4,1,1,Centro,106.0,15.0,122.10590419483304
31402925,40.39616,-3.69308,51,4,20,0.38,4,1.0,2,5.0,0.0,1.0,0,1.0,5,18,8,18,Arganzuela,81.0,12.0,74.2593449845258
31589551,40.3941,-3.6969,91,2,14,0.27,82,1.0,5,3.0,0.0,5.0,4,0.8666666666666667,3,26,8,15,Arganzuela,81.0,12.0,118.13231790730131
31403466,40.43194,-3.66877,80,3,100,1.89,96,2.0,2,2.0,1.0,2.0,0,1.0,5,15,3,51,Salamanca,120.0,16.0,127.42816244166978
31591994,40.421,-3.69935,266,2,113,2.17,348,2.0,4,2.0,0.0,4.0,22,0.26666666666666666,6,5,1,5,Centro,106.0,15.0,194.71925082893887
31594484,40.42426,-3.69949,125,2,33,0.62,344,1.0,4,1.0,0.0,4.0,21,0.3,9,18,1,5,Centro,106.0,15.0,135.62042840105917
31605573,40.41854,-3.69669,200,1,11,0.25,245,1.0,4,3.0,0.0,5.0,17,0.43333333333333335,3,6,1,19,Centro,106.0,15.0,182.44176920490375
31605653,40.41795,-3.69617,212,1,82,1.59,240,2.0,4,3.0,0.0,5.0,12,0.6,5,8,1,19,Centro,106.0,15.0,211.12838582177804
31426123,40.40748,-3.71022,90,6,156,2.97,1,1.0,3,2.0,1.0,2.0,0,1.0,11,1,1,6,Centro,106.0,15.0,94.97638636361356
